City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Gorontalo,ID,2022-05-06 05:23:01,0.5412,123.0595,86.18,78,78,1.95
229,Kirakira,SB,2022-05-06 05:23:01,-10.4544,161.9205,84.63,72,52,7.72
230,Turayf,SA,2022-05-06 05:23:02,31.6725,38.6637,53.85,87,40,9.22
231,Buzmeyin,TM,2022-05-06 05:23:02,38.0507,58.2056,82.13,51,78,4.61
232,Ancud,CL,2022-05-06 05:23:03,-41.8697,-73.8203,53.04,89,96,6.22
233,Nishihara,JP,2022-05-06 05:23:03,26.1842,127.7558,76.68,94,100,10.36
234,Omsukchan,RU,2022-05-06 05:23:04,62.5333,155.8,32.11,96,100,10.11
235,Plettenberg Bay,ZA,2022-05-06 05:23:04,-34.0527,23.3716,59.27,90,10,6.4
236,Airai,TL,2022-05-06 05:23:05,-8.9266,125.4092,70.81,72,73,3.71
237,Muros,ES,2022-05-06 05:23:05,42.7762,-9.0603,53.83,81,16,10.69
238,Borazjan,IR,2022-05-06 05:23:06,29.2666,51.2159,94.39,15,100,16.15
239,Mar Del Plata,AR,2022-05-06 05:23:06,-38.0023,-57.5575,57.87,76,0,8.05
240,Carnot,CF,2022-05-06 05:23:07,4.9409,15.8665,68.29,97,99,0.98
241,Dunedin,NZ,2022-05-06 05:23:07,-45.8742,170.5036,60.8,64,100,4.0
242,North Battleford,CA,2022-05-06 05:23:08,52.7834,-108.2847,66.29,32,100,14.97
243,Pacifica,US,2022-05-06 05:23:08,37.6138,-122.4869,59.65,91,100,5.75
244,Tiksi,RU,2022-05-06 05:23:09,71.6872,128.8694,24.58,80,25,7.61
245,Yulara,AU,2022-05-06 05:23:09,-25.2406,130.9889,64.24,27,75,12.66
246,Tilichiki,RU,2022-05-06 05:23:10,60.4667,166.1,31.57,90,100,4.81
247,Vila Franca Do Campo,PT,2022-05-06 05:23:10,37.7167,-25.4333,66.2,87,100,14.63
248,Lircay,PE,2022-05-06 05:23:11,-12.9896,-74.7205,42.53,96,25,1.36
249,Te Anau,NZ,2022-05-06 05:23:11,-45.4167,167.7167,59.22,82,100,2.37
250,Kaili,ID,2022-05-06 05:23:12,-3.4626,120.2147,78.49,76,81,3.89
251,Iquitos,PE,2022-05-06 05:23:12,-3.7481,-73.2472,73.44,94,75,3.44
252,Guarapari,BR,2022-05-06 05:23:13,-20.6667,-40.4975,72.68,92,40,10.76
253,Batemans Bay,AU,2022-05-06 05:23:13,-35.7167,150.1833,61.11,39,0,10.74
254,Baykit,RU,2022-05-06 05:23:14,61.67,96.37,52.32,51,74,6.4
